latitude,longitude,confidence,surface_temperature_celcius
-36.1369,146.116,64,42
-37.164,148.915,55,42
-37.1521,148.9446,66,46
-37.166,148.9436,75,49
-36.1841,145.1836,79,52
-36.1875,143.5158,53,39
-36.1887,143.4722,56,39
-37.2465,144.3795,61,41
-36.9826,143.6671,78,51
-36.4437,143.5726,64,42
-36.3987,142.6332,59,40
-37.4984,142.9739,93,73
-37.253,144.3681,96,78
-36.2993,143.2461,76,50
-36.3065,141.4495,69,44
-37.5074,142.976,66,43
-36.3636,141.3622,83,57
-36.9396,143.1462,92,70
-37.2622,144.3704,55,39
-36.3111,143.7704,69,44
-36.7159,141.4716,51,38
-36.5963,144.0066,51,38
-36.5738,142.3038,100,101
-36.4293,141.2933,84,58
-36.3387,141.7542,96,77
-37.2793,143.8934,87,62
-37.2512,144.3799,86,60
-38.0395,146.0486,83,63
-36.5828,142.3058,84,58
-36.4216,141.2799,60,40
-36.4317,143.0967,64,42
-36.2538,145.5929,63,42
-36.437,144.1478,66,43
-36.6217,142.0944,55,39
-36.3652,141.3508,66,43
-36.8241,145.1274,56,39
-36.3296,141.7522,63,41
-35.7542,142.5039,64,42
-36.3433,143.4369,100,94
-36.3728,141.3641,71,46
-36.4371,141.7692,74,48
-37.0167,143.8586,87,62
-36.345,143.4256,100,87
-36.7032,144.0992,90,66
-37.9308,144.3325,78,51
-36.4348,141.3,78,52
-36.3019,146.4343,67,43
-36.3638,143.9086,71,46
-36.3542,141.0935,63,41
-36.4277,141.3047,79,52
-36.3362,141.4973,78,52
-35.6785,143.5077,57,39
-36.6755,141.5039,68,45
-35.4591,142.062,74,48
-34.5019,141.3528,71,46
-36.1648,143.3362,77,55
-36.301,143.2349,70,45
-36.3156,141.4514,84,57
-36.3402,141.7429,96,77
-36.3971,142.6444,69,44
-36.3704,143.0191,76,49
-36.4226,143.0946,56,39
-36.674,141.5154,80,53
-36.5661,142.2956,89,65
-36.5646,142.3068,52,48
-36.5754,142.2926,100,111
-36.3073,144.2678,70,45
-36.7126,141.6358,64,42
-36.4347,143.5704,63,42
-36.7217,141.6378,83,56
-36.7536,141.6092,70,45
-36.7611,141.6048,68,44
-36.5664,142.9892,65,42
-36.5648,143.0004,82,55
-36.6483,142.4878,60,41
-36.5023,143.6038,85,66
-36.4617,144.6381,70,48
-36.8616,142.8025,90,78
-36.86,142.8137,66,45
-36.3119,146.4371,69,44
-36.7215,144.1037,86,60
-36.6463,144.7594,59,41
-36.6288,144.8682,72,47
-36.6664,144.7828,82,55
-36.8221,145.1397,78,52
-37.2794,143.5903,51,44
-37.2777,143.6017,83,56
-37.1402,144.6153,86,61
-37.2811,143.8819,66,43
-38.0372,146.0616,90,67
-38.049,146.0513,94,74
-38.0468,146.0644,100,110
-34.4929,141.3558,71,46
-35.4666,142.0749,89,65
-35.7632,142.5059,72,47
-36.0411,141.7071,69,44
-36.0396,141.7183,95,76
-35.9903,142.2708,69,45
-36.4058,141.5175,72,46
-36.1631,143.3475,70,45
-36.7018,143.1431,81,54
-36.2775,146.1026,94,74
-36.3178,145.9308,86,60
-36.3831,145.7276,71,45
-37.446,142.8978,72,47
-37.4444,142.9091,71,45
-38.0219,141.2238,76,62
-37.7481,143.4151,64,42
-38.0361,146.0567,100,90
-38.038,146.0685,76,49
-36.4212,141.2381,75,49
-36.1431,143.5499,100,102
-36.4365,145.845,72,46
-36.3254,144.3638,95,77
-36.353,144.5977,50,38
-36.4489,144.1445,69,45
-34.9917,141.8885,52,49
-36.4032,144.0604,69,45
-36.0816,145.859,100,98
-36.3011,145.9395,76,50
-36.3883,143.7526,56,39
-34.9938,141.876,100,120
-36.1532,143.5527,100,90
-36.5513,144.1473,66,43
-36.3636,144.4821,81,55
-36.4837,142.6042,83,63
-36.6361,144.5124,66,43
-36.4763,142.5887,74,51
-36.0097,141.7625,85,60
-36.3742,144.4851,75,49
-36.0077,141.7747,100,93
-36.4005,144.0756,78,51
-37.9378,144.3115,87,62
-37.1999,143.6425,62,41
-36.4477,145.8352,81,54
-34.9959,141.8635,53,49
-34.9843,141.8736,53,48
-36.4403,145.826,86,60
-36.2972,145.9588,84,57
-36.391,144.5747,85,60
-36.3712,144.5011,87,62
-36.3606,144.498,84,58
-36.0828,145.873,94,75
-36.075,145.8501,78,51
-36.1404,143.5643,100,113
-36.1411,143.5727,78,51
-36.1462,143.5438,74,51
-36.174,142.737,79,52
-35.9979,143.6803,82,56
-36.5541,144.1321,91,69
-36.8399,142.6291,57,39
-35.708,143.7987,50,38
-35.6819,143.5275,91,69
-35.6846,143.5129,82,55
-36.3148,144.3607,75,49
-35.6871,143.5235,90,68
-36.3832,143.7566,68,44
-36.304,143.7445,59,40
-36.591,141.7194,55,40
-36.8377,142.642,68,44
-36.1506,143.5671,100,95
-35.7108,143.7836,86,60
-36.0518,141.6846,63,42
-36.3984,144.0271,85,60
-36.7321,143.1978,54,46
-36.5375,146.0866,64,42
-37.82,145.9954,83,57
-36.358,144.4905,70,45
-34.9194,140.9678,66,43
-37.4671,145.9962,93,73
-36.4061,143.0987,64,42
-37.9742,141.1855,78,51
-37.4688,145.98,87,62
-36.5509,144.1143,76,50
-37.9774,141.2029,67,50
-36.2911,141.1664,90,67
-36.2842,141.1741,96,79
-36.3492,140.9727,88,63
-36.7218,141.6411,89,65
-37.3656,141.3903,84,78
-36.1188,145.156,65,42
-36.4179,144.2924,94,75
-35.4173,143.2041,54,39
-36.3207,140.9737,92,70
-36.3493,141.5238,70,45
-36.3909,141.1843,54,39
-36.2882,141.1821,99,86
-36.3153,140.9789,91,69
-36.1271,145.1541,75,48
-36.4169,144.2994,97,81
-36.422,144.2761,80,53
-36.4713,144.4747,58,40
-38.5657,146.438,70,45
-38.5675,146.4563,68,44
-36.8094,142.8885,96,77
-38.0765,143.9516,79,53
-35.1175,141.1396,84,58
-37.4522,142.9279,71,46
-36.7937,141.3669,66,43
-37.687,143.4397,88,64
-36.3455,141.5655,75,49
-36.2359,141.3007,55,41
-37.5657,143.0689,100,103
-36.587,142.87,65,42
-35.2312,141.0149,71,45
-36.3933,144.1287,87,63
-36.8142,142.8947,86,60
-36.9299,142.9671,71,46
-37.6518,142.9159,83,57
-36.9731,143.9437,69,44
-37.8323,147.2232,84,68
-36.7532,141.7986,63,42
-36.9664,142.1561,81,55
-36.7227,144.5374,77,50
-36.6258,142.9987,64,42
-36.0236,143.2158,67,43
-37.4574,142.9354,59,40
-37.3317,143.822,57,41
-36.6329,142.9903,57,43
-36.884,145.8938,66,43
-37.5263,143.0882,56,53
-37.7006,143.2124,75,48
-36.5741,143.8891,74,48
-36.2455,141.3205,62,43
-36.5757,143.8756,82,55
-37.7461,142.7369,56,39
-38.2853,145.9519,98,83
-38.2375,142.8363,98,82
-36.797,141.3621,82,55
-37.4463,142.7829,92,70
-38.5214,146.4027,84,57
-37.4366,143.1352,74,48
-36.2443,141.3069,86,61
-36.7954,141.3483,83,56
-36.4312,143.9942,71,46
-38.294,143.7227,60,41
-37.4381,143.1201,78,51
-37.2068,142.9226,76,49
-37.6659,143.186,61,41
-37.7506,142.7265,63,41
-37.6854,143.4543,95,76
-37.7637,143.4072,73,47
-37.959,143.5497,60,40
-37.3655,148.2821,85,59
-38.0189,143.6406,68,44
-38.0781,143.9374,80,54
-38.0881,143.9391,99,84
-38.0866,143.9534,96,78
-38.2391,142.82,92,71
-38.2481,142.8381,68,44
-37.8158,147.2077,80,53
-38.5123,146.4007,100,89
-38.5138,146.3889,76,49
-38.293,145.966,65,43
-38.2946,145.9538,74,48
-38.2838,145.9641,80,53
-37.8339,147.2118,100,113
-37.8265,147.1984,76,49
-36.9827,141.4064,62,41
-36.9647,142.1729,74,48
-36.7185,144.5427,81,55
-36.754,141.7932,64,42
-36.7212,144.5501,86,60
-36.9315,142.9519,80,53
-36.9054,143.9176,81,55
-36.7988,141.3436,71,46
-36.5886,142.8549,55,39
-36.9748,143.9369,55,39
-37.3456,141.1885,87,62
-36.8084,145.9198,67,43
-37.3405,141.1927,84,58
-37.2549,142.7719,53,38
-36.1672,145.8389,81,54
-36.1687,145.8275,68,44
-36.3355,144.5241,51,38
-36.3371,144.5115,76,49
-36.4944,141.8992,58,40
-37.1749,143.9573,69,44
-37.3025,143.4635,52,39
-37.3009,143.4777,52,39
-36.3438,141.5832,96,78
-35.9423,145.0943,79,52
-35.9438,145.0824,78,52
-37.2991,143.4681,77,51
-37.4373,142.7654,87,62
-36.2715,141.0081,86,61
-36.2341,141.3188,57,41
-37.4357,142.7813,94,74
-37.3233,143.8061,76,49
-36.2646,141.0021,82,55
-35.7421,142.5634,60,40
-37.4479,142.7671,87,62
-37.3333,143.8079,75,48
-37.4304,143.1275,60,47
-37.459,142.9198,54,39
-36.8158,142.8794,66,43
-37.4732,143.1877,74,48
-37.4716,143.2027,75,49
-37.5005,143.1305,79,52
-37.4988,143.1458,85,59
-37.5529,142.9882,79,52
-37.5553,143.0672,78,53
-37.5673,143.0535,69,44
-37.522,143.4742,71,46
-37.6158,142.6931,76,49
-37.597,143.0741,52,38
-37.5954,143.0895,80,53
-37.5867,143.6256,99,85
-37.527,143.4752,81,39
-36.2685,141.0912,60,40
-36.0195,141.6772,71,46
-36.6519,142.8362,57,39
-36.2635,141.1145,58,40
-36.3488,141.148,81,54
-36.6497,142.8306,51,38
-36.0841,141.1426,60,40
-36.2748,145.7718,59,40
-36.2727,145.8181,74,47
-36.2779,145.7794,72,47
-36.2761,145.8256,53,43
-38.3849,146.6745,55,39
-36.3182,141.6684,64,42
-36.2306,143.6408,93,72
-36.4001,143.1512,59,40
-36.4183,141.6816,87,62
-35.9225,143.5451,66,43
-36.3012,141.163,70,45
-36.3492,145.9333,73,47
-36.3864,141.3034,80,54
-36.4532,143.1564,83,56
-36.3493,145.8723,86,60
-36.4226,141.6752,69,45
-36.4168,141.6939,91,68
-36.2396,143.6427,79,53
-36.4547,143.145,74,48
-36.4196,141.6999,76,50
-36.1963,145.194,72,46
-36.0744,146.688,51,38
-36.2756,145.811,50,39
-36.2848,145.8133,100,101
-36.2829,145.825,100,115
-36.3511,145.9216,79,52
-37.5304,143.4714,77,50
-36.4211,141.6875,97,81
-38.4068,147.0682,69,44
-36.5134,142.4682,70,53
-36.5152,142.4765,73,58
-36.1214,143.7078,59,40
-36.2936,145.1053,73,47
-36.0914,145.0299,78,51
-36.7317,142.0162,64,42
-35.6138,143.8666,91,68
-36.5141,145.0292,62,41
-36.3011,141.5705,59,40
-36.0885,145.0359,95,76
-36.3193,145.9162,96,78
-36.0889,145.0443,85,59
-36.0652,146.0764,98,82
-36.2961,144.861,57,39
-36.0682,146.0602,100,90
-36.2861,144.8582,66,43
-36.6892,145.5397,75,49
-35.33,142.4127,83,57
-37.7889,143.1324,92,71
-37.7772,143.1222,70,45
-36.6139,143.501,95,77
-36.2558,143.6443,81,54
-37.547,142.9081,51,42
-36.4251,142.2216,58,40
-36.1147,147.4958,87,63
-36.4426,140.9954,84,57
-37.9509,143.9599,95,76
-37.5406,142.9301,59,46
-36.3086,141.135,82,55
-35.9839,143.6719,57,47
-36.2987,141.1294,79,52
-36.2542,143.6256,52,38
-36.7145,143.471,78,52
-36.2523,143.6509,74,48
-36.4528,141.0038,82,55
-36.7072,143.4655,72,46
-36.4425,141.1907,75,48
-36.3596,141.0646,53,38
-37.5576,143.5687,82,56
-36.6224,143.5092,97,80
-36.3452,145.8969,64,42
-36.686,143.8575,71,46
-36.3617,141.0269,71,45
-36.6118,143.5275,77,50
-37.785,143.092,56,41
-36.0786,144.229,78,51
-37.8254,143.3904,62,43
-36.1369,141.8122,75,48
-36.2966,141.1662,54,39
-38.0933,143.9824,96,78
-37.7068,141.3149,76,50
-36.663,142.8567,92,71
-36.6963,141.8645,79,52
-36.5489,143.1093,60,40
-36.8202,141.802,80,54
-36.6248,142.2042,71,46
-36.4195,141.2093,60,42
-36.7063,141.8673,59,40
-36.343,143.3324,80,53
-36.3256,141.095,72,47
-37.7714,142.8339,77,50
-37.6982,143.0549,94,73
-37.4621,143.0869,75,48
-36.3911,141.1262,73,47
-36.7187,143.805,95,76
-36.2185,141.5941,80,53
-37.5991,143.1517,87,62
-36.7742,145.1991,100,89
-36.943,141.863,50,40
-36.3484,141.4983,61,41
-37.7741,142.8188,77,50
-36.3164,141.1475,62,41
-36.4379,141.3392,87,63
-36.5177,144.5711,52,40
-37.7011,143.0393,81,54
-36.5642,142.5943,51,38
-36.5061,144.5675,91,68
-37.032,143.4464,69,44
-36.4361,141.1724,84,58
-38.4378,146.6124,82,55
-36.4035,140.9935,100,95
-36.3736,143.8447,61,46
-36.0963,145.6162,68,44
-36.5077,144.5817,73,47
-36.4309,141.1436,80,54
-36.2239,144.6922,82,55
-37.5915,143.1328,81,54
-37.6953,143.0704,59,40
-36.4315,141.1987,76,49
-36.4286,141.1567,99,84
-36.4402,141.3259,87,61
-36.8059,142.9103,50,38
-36.3635,142.2809,91,68
-36.664,142.8802,100,87
-37.956,143.5461,77,50
-36.6564,142.8615,91,69
-36.0959,145.6233,50,38
-36.5607,144.1913,80,53
-37.5811,143.1297,72,46
-38.4398,146.6093,81,54
-36.4057,140.9806,100,119
-36.3815,143.8529,58,45
-36.9455,141.849,77,51
-36.4384,141.7444,81,55
-36.3711,145.8311,59,40
-36.3268,142.3643,53,38
-36.767,142.6811,55,39
-36.2257,144.2904,72,46
-36.0169,141.6868,80,53
-36.3489,141.4916,55,39
-36.3661,145.8545,83,56
-36.8452,142.2483,64,42
-36.2933,141.6923,84,58
-36.6657,143.1675,93,72
-36.0144,141.7008,51,38
-36.2957,141.6783,77,50
-36.4438,145.8052,71,46
-36.6669,142.8645,100,110
-36.0133,141.8094,61,41
-36.7544,141.5341,60,40
-36.2417,143.6232,74,48
-36.448,145.7893,72,47
-36.6535,142.8771,74,48
-36.2218,141.3385,56,39
-36.2833,141.6896,68,44
-36.7338,144.5479,66,43
-36.2209,141.5804,67,43
-36.8742,142.7177,98,84
-36.3257,141.0896,78,52
-36.6601,142.8724,100,108
-36.8714,142.733,77,50
-36.7751,145.1696,91,68
-36.3168,141.1422,66,43
-36.2394,143.628,73,47
-36.3278,141.082,54,39
-36.3961,140.9781,91,69
-36.3939,140.991,66,43
-36.7708,145.1908,100,98
-38.4025,146.6501,76,49
-36.6173,142.1868,83,56
-37.8701,142.8066,78,51
-37.758,143.179,98,82
-37.7609,143.1633,94,74
-36.5116,144.562,89,66
-36.4338,141.1856,100,112
-36.803,142.9261,92,70
-37.7505,143.1601,78,51
-36.5493,144.1879,87,62
-36.6146,142.2013,77,51
-36.4399,141.0914,59,40
-36.4143,143.272,89,65
-37.0434,142.001,54,41
-36.049,143.175,65,42
-36.0399,143.6437,60,40
-36.7153,143.8226,99,86
-36.4207,141.6093,67,43
-36.3295,142.3494,84,58
-36.8791,142.7261,100,93
-36.7786,145.178,100,105
-36.7038,141.8813,70,45
-36.7309,142.3633,100,88
-36.882,142.7108,92,70
-36.3739,141.108,78,51
-37.6403,142.8696,74,48
-36.055,144.605,54,39
-37.6456,142.6646,53,39
-37.5334,143.0587,57,41
-36.3462,143.3157,73,47
-37.5135,142.7238,93,72
-36.2121,144.6885,94,74
-36.8237,141.4881,84,58
-36.8261,141.4747,52,38
-36.334,144.0309,62,41
-36.228,144.6721,56,39
-36.2206,144.6856,97,80
-36.7904,141.7938,74,48
-36.788,141.8077,86,61
-37.3466,143.123,66,43
-38.4395,146.6166,77,50
-38.0132,146.5269,88,73
-37.6143,142.958,76,49
-38.0148,146.5413,87,71
-37.8412,147.2536,100,87
-37.8429,147.2691,96,78
-37.7177,143.2919,61,41
-38.0233,146.5253,94,103
-36.5454,144.7402,100,96
-36.5039,142.8384,74,48
-36.3557,145.5993,79,52
-36.6088,145.2514,100,115
-36.7593,142.895,92,69
-36.3441,141.5806,62,41
-36.3753,146.6914,57,40
-36.3051,143.1445,54,39
-36.3851,141.8256,82,55
-36.7597,142.9068,73,48
-35.4603,143.5411,86,60
-36.7483,142.9052,76,54
-36.0574,141.5856,84,57
-36.1247,145.1437,71,46
-36.3435,141.5513,90,67
-36.6595,143.8887,72,46
-36.0555,141.6071,100,104
-37.5583,142.9318,71,46
-36.4952,143.971,100,110
-36.1021,145.7792,74,47
-36.6942,143.8021,93,72
-36.1961,141.6376,52,38
-36.3584,145.9225,64,42
-36.3459,141.5586,100,91
-36.6072,145.2651,86,60
-36.3526,146.3686,72,47
-36.1603,141.2905,59,40
-36.1267,147.6711,68,44
-36.4046,141.1534,93,73
-36.6612,143.8726,76,50
-36.3891,141.0253,68,44
-36.8763,142.7266,68,44
-35.4619,143.5251,58,40
-36.0594,141.5907,96,79
-36.0576,141.6122,100,94
-36.1614,141.2978,72,47
-36.2549,141.9908,69,44
