latitude,longitude,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation ,GHI_w/m2
-37.6,149.325,16,48.1,9.3,12, 0.00G,139
-37.61,149.279,20,57.4,10.9,22, 0.00I,161
-37.637,146.288,31,61.9,14.1,23.9, 0.00I,239
-37.608,149.282,22,62.7,7.6,18.1, 0.00I,169
-37.62,149.294,21,60.4,6.8,12, 0.00I,164
-37.618,149.281,19,53.8,9.2,15, 0.02G,158
-37.61,149.296,16,48.3,14.4,19, 0.00G,139
-37.603,149.324,16,53.6,12.1,16.9, 0.16G,133
-37.602,149.311,14,48.5,7.3,14, 0.00G,122
-37.6,149.297,22,53.4,10.9,19, 0.00I,183
-37.382,149.341,18,53.6,7.2,15, 0.00I,150
-37.611,149.277,18,49.4,9.3,13, 0.00I,155
-37.608,149.292,15,44.6,9.7,12, 0.02G,134
-37.605,149.308,13,48.5,10.7,14, 0.71G,113
-34.282,142.121,15,49.1,9.6,16.9, 0.01G,130
-37.606,149.312,16,51,6,13, 0.00G,136
-37.605,149.326,23,49.6,10,19, 0.00I,198
-37.61,149.307,18,55.5,8.9,15, 0.01G,147
-37.609,149.32,16,48.3,9.4,14, 0.01G,139
-37.749,148.297,17,52.6,10.3,15.9, 0.00G,143
-37.946,144.342,21,54.9,7.4,16.9, 0.00I,173
-37.945,144.354,24,55.6,5.9,13, 0.00I,196
-38.141,143.183,23,54.1,5.7,14, 0.00I,190
-36.952,144.972,21,57.3,5.4,9.9, 0.00I,169
-34.965,142.031,20,62.6,10.1,15, 0.00I,153
-37.978,145.623,21,59.5,12.4,21, 0.00I,166
-37.976,145.649,22,62,7.9,11.1, 0.00I,170
-37.758,144.693,20,58.8,11.5,15.9, 0.00I,159
-37.862,144.175,20,52.9,17,21, 0.00I,167
-38.527,143.493,19,51.5,10.2,20, 0.00I,161
-37.332,143.375,21,51.7,7.2,13, 0.00I,177
-37.621,143.447,23,53.4,6.1,11.1, 0.00I,192
-37.614,143.451,19,60.2,6.4,12, 0.00I,149
-37.954,143.918,20,59.7,8.6,15.9, 0.01G,158
-38.167,143.841,21,58.1,5.3,11.1, 0.00G,168
-38.16,143.803,20,62.2,7.1,15, 0.00I,154
-36.942,143.282,25,58.3,7.1,13, 0.00I,199
-37.864,144.174,28,58.4,11.9,18.1, 0.04G,223
-38.912,146.272,18,53.3,10.8,15, 0.00G,150
-36.942,143.292,18,51.1,8.1,15, 0.00I,153
-36.94,143.281,21,52.8,4.1,11.1, 0.00I,176
-36.943,143.286,24,55.2,5.8,11.1, 0.00I,197
-36.941,143.268,23,63.8,7.1,15.9, 0.08G,174
-36.939,143.28,20,67.4,8.5,14, 0.63G,147
-37.863,144.17,18,57.5,16.1,21, 0.00G,145
-36.759,145.179,18,55.6,12.8,19, 0.00I,147
-36.758,145.19,20,58.4,6.1,11.1, 0.00I,159
-37.213,142.941,23,61.9,8,15.9, 0.00I,178
-37.479,143.358,23,60.6,10.1,26, 0.00I,180
-37.467,143.351,17,53.4,9.4,25.1, 0.16G,142
-37.477,143.352,18,50.6,6,13, 0.00G,154
-37.475,143.365,17,49.9,12.2,21, 0.24G,146
-37.719,142.154,13,47,7.9,15, 0.02G,114
-37.692,143.593,14,45.8,6.5,9.9, 0.00G,124
-37.69,143.605,14,45.7,9.2,15.9, 0.00I,124
-36.538,141.129,12,43.4,9.3,15, 0.00I,109
-36.543,141.138,15,47.7,5.9,13, 0.00I,131
-36.341,143.636,16,47.5,5.4,12, 0.00I,140
-36.346,143.631,17,47.2,4.9,13, 0.00I,149
-37.331,143.122,19,44.2,7.8,15.9, 0.00I,171
-37.329,143.136,21,47,13.2,20, 0.00I,185
-37.34,143.123,19,52.8,12.5,21, 0.47G,159
-36.748,144.168,11,48.2,10.8,22.9, 0.59G,96
-36.752,144.15,14,50.4,12.8,20, 0.01G,120
-36.759,144.158,14,52.5,7,13, 0.00G,118
-36.764,144.165,14,52.4,6.7,11.1, 0.00I,118
-36.765,144.176,16,54.9,5.9,9.9, 0.00I,132
-35.325,143.497,13,48.5,5.3,11.1, 0.08G,113
-35.321,143.502,12,44,4.7,7, 0.00G,108
-35.323,143.509,15,49.3,3.6,7, 0.00I,129
-36.156,143.568,13,51.4,4.6,8.9, 0.00I,110
-36.152,143.578,15,56.1,5.1,9.9, 0.00I,122
-37.297,144.384,22,52.8,9.1,15, 0.00I,184
-36.1,143.767,20,53.5,7.2,15.9, 0.31G,166
-36.098,143.735,17,58.1,11.7,19, 0.04G,136
-36.1,143.772,18,58.9,5.5,14, 0.08G,143
-36.098,143.74,17,59.3,4.2,7, 0.01G,134
-37.586,141.271,19,60.5,7,11.1, 0.83G,149
-37.588,141.259,14,52.8,9.3,18.1, 0.98G,117
-37.296,144.386,11,40.8,12.2,20, 0.24G,102
-37.287,144.392,12,48.2,7.3,11.1, 0.03G,104
-37.295,144.377,16,54.8,8.3,9.9, 0.00G,132
-35.364,141.063,15,51.9,6.6,12, 0.01G,127
-35.89,145.606,15,45.6,10.2,15, 0.00G,133
-35.889,145.614,14,49.2,10.5,20, 0.12G,121
-35.892,145.62,10,42.6,8.9,15, 0.04G,91
-37.247,141.27,10,43.1,4.7,8, 0.00G,91
-35.937,145.607,10,43.3,2.6,7, 0.00I,91
-37.247,141.278,14,47.4,7.1,14, 0.00I,123
-37.587,142.479,12,45.1,11.9,18.1, 0.16G,107
-37.805,144.15,12,45,10.5,16.9, 0.16G,107
-37.288,144.39,12,49.9,6.1,13, 0.02G,103
-37.294,141.232,12,49,4.6,8.9, 0.00G,104
-37.293,141.245,10,45.7,3.7,8, 0.01G,89
-36.851,148.117,9,45.3,2.5,6, 0.00G,80
-37.249,143.413,14,47.9,5.3,9.9, 0.00I,122
-38.127,143.82,9,44,2.8,8, 0.00I,81
-38.116,143.818,10,46.8,5.3,9.9, 0.00I,88
-37.245,143.426,10,47,5.2,8.9, 0.00I,88
-37.091,145.362,12,48.8,4.2,7, 0.00I,104
-37.087,145.363,13,49.4,3.8,9.9, 0.01G,112
-35.962,143.791,14,49.9,6.8,15.9, 0.00G,120
-36.498,144.877,12,51.6,3.4,11.1, 0.05G,101
-36.418,141.596,14,50.1,8.7,15, 0.00G,120
-37.38,148.053,14,51,9.9,15, 0.00I,119
-37.466,148.143,17,48.7,10.5,15, 0.00I,147
-37.472,148.119,15,49.9,7.9,13, 0.01G,129
-37.469,148.125,14,48.4,7.5,13, 0.00G,122
-37.461,148.109,14,50.7,8.6,13, 0.12G,119
-37.459,148.092,13,48.5,7.1,15.9, 0.00G,113
-37.236,141.176,14,48.1,13.7,19, 0.35G,122
-37.227,141.151,9,41.2,10,13, 0.02G,83
-37.242,141.153,12,42.8,12.1,19, 0.04G,109
-37.238,141.145,8,41.6,8.3,15.9, 0.24G,73
-37.365,148.052,11,43.8,6.5,12, 0.02G,99
-37.376,148.042,11,43.2,5.5,8, 0.00G,100
-37.375,148.054,12,47,4.8,8.9, 0.00I,105
-37.386,148.043,8,43.3,3.9,8, 0.00I,72
-37.384,148.056,9,43.2,4.9,8, 0.00I,82
-37.367,148.04,12,47.6,9.1,13, 0.12G,105
-37.471,148.091,9,40.8,6.7,15, 0.01G,83
-37.462,148.089,8,40.7,5.3,12, 0.00G,74
-37.46,148.102,10,46.3,4.6,8, 0.08G,88
-37.469,148.103,10,47.1,4.6,8.9, 0.00G,88
-37.229,141.182,8,44.5,4.7,7, 0.01G,72
-37.227,141.146,10,44.9,5.5,8.9, 0.00G,89
-37.466,148.1,12,49.4,4.4,8.9, 0.00I,103
-37.475,148.134,8,43.1,3.4,7, 0.00I,73
-37.47,148.089,11,46.4,6.5,8.9, 0.00I,97
-37.485,148.095,11,45.4,5.2,8.9, 0.00A,98
-37.477,148.097,8,42.6,2,6, 0.00I,73
-37.461,148.105,10,45.6,4.5,7, 0.00I,89
-37.456,148.11,10,47.9,4.1,7, 0.00I,87
-37.463,148.109,11,45.1,5.6,9.9, 0.00I,98
-37.453,148.111,11,45.3,10.6,16.9, 0.08G,98
-37.461,148.103,10,45.9,3.2,7, 0.00G,89
-37.368,148.05,10,41.4,9.4,14, 0.00I,92
-37.478,148.117,11,43.9,11.2,16.9, 0.12G,99
-37.467,148.127,10,37.9,8.5,14, 0.02G,94
-37.46,148.113,11,44.2,8.7,15.9, 0.04G,99
-37.453,148.099,10,45.7,3.6,7, 0.01G,89
-37.45,148.097,9,41,8.2,9.9, 0.00G,83
-38.226,147.167,10,43.7,7.2,11.1, 0.00I,90
-35.954,141.076,10,42.1,9.4,15, 0.13B,91
-35.961,141.089,5,34.9,4.3,11.1, 0.00A,48
-35.963,141.078,5,33.1,5.8,14, 0.00I,49
-36.275,142.785,6,30.8,5.7,11.1, 0.00I,60
-36.398,145.286,11,45.1,11.5,18.1, 0.20G,98
-35.953,141.078,12,47.2,8.8,15, 0.00G,105
-35.957,141.088,9,42.4,7.2,9.9, 0.00I,82
-37.087,145.37,9,40.1,7.5,11.1, 0.00I,84
-37.758,148.721,9,41.2,9.8,15.9, 0.00I,83
-37.561,148.032,9,42.8,9.3,13, 0.08G,82
-37.446,148.102,10,39.4,9.6,14, 0.00G,93
-37.448,148.114,10,44.4,5.6,11.1, 0.12G,90
-37.453,148.118,6,39,1.8,5.1, 0.01G,56
-37.457,148.143,9,39,5.6,8.9, 0.00G,84
-37.437,148.104,12,40.7,16.7,21, 0.12G,111
-37.434,148.091,9,40,8.6,15, 0.00G,84
-37.538,148.895,6,37.1,5.8,9.9, 0.00I,57
-37.333,148.099,10,35.6,14.5,20, 0.00I,96
-37.33,148.087,12,41.8,14.7,21, 0.00I,110
-37.327,148.083,10,44.8,8.8,14, 0.39G,89
-37.375,148.063,10,43.5,12,16.9, 0.04G,90
-37.336,148.073,7,40.5,8.1,15, 0.12G,65
-37.332,148.091,8,39.3,7.7,14, 0.00G,75
-37.363,148.06,11,35.3,18.2,25.1, 0.00I,106
-37.438,148.09,10,44.7,8,15.9, 0.08G,90
-37.406,148.123,12,44.7,11.4,18.1, 0.00G,107
-37.397,148.121,13,44,13.6,21, 0.04G,117
-37.452,148.115,8,43.8,7.3,14, 0.08G,72
-37.465,148.153,11,43.5,13.1,21, 0.24G,99
-37.45,148.126,11,40.5,13.4,26, 0.00G,102
-37.436,148.088,15,41.5,17,28.9, 0.00I,138
-37.444,148.101,9,42,4.6,12, 0.00I,82
-37.562,148.05,7,40.5,3.1,8, 0.00I,65
-38.5,146.938,7,40.7,3.7,7, 0.00I,65
-38.498,146.95,5,38.6,1.8,5.1, 0.00I,47
-38.495,146.944,8,44.6,3.9,8, 0.39G,72
-37.497,147.266,10,41,14.1,20, 0.02G,92
-37.57,148.034,11,40.4,19.3,26, 0.00G,102
-37.559,148.037,9,41.1,12.7,19, 0.24G,83
-37.379,148.126,9,42.9,8.9,15.9, 0.12G,82
-37.379,148.132,12,44.9,7.9,11.1, 0.00G,107
-37.434,148.123,14,43.7,17,27, 0.00I,126
-37.396,148.086,15,41.6,15,28, 0.00I,138
-37.406,148.088,12,43.9,12,15.9, 0.08G,108
-37.415,148.105,12,47,7.7,15, 0.08G,105
-37.425,148.107,15,41.2,13.8,16.9, 0.00G,138
-37.391,148.066,14,44.6,7.7,15.9, 0.03G,125
-37.399,148.081,14,49.9,13.7,22, 0.03G,120
-37.401,148.067,13,42.5,14,19, 0.04G,118
-36.984,148.25,10,39.9,12.6,16.9, 0.08G,93
-37.335,148.064,8,41,11,16.9, 0.47G,74
-36.429,141.5759,7,37.9,5.7,9.9, 0.04G,66
-36.1346,145.2196,8,37.2,5.5,11.1, 0.00G,76
-37.0745,141.0692,9,40.4,6.9,9.9, 0.02G,83
-37.9072,141.9183,12,43.3,7,11.1, 0.00G,109
-37.013,141.5355,10,44.1,7.3,12, 0.39G,90
-37.0899,141.0238,9,42.2,6.4,9.9, 0.01G,82
-37.0884,141.0357,12,40.4,5.9,8.9, 0.00G,111
-37.0667,143.0582,11,39.7,11.8,19, 0.28G,102
-36.3328,146.0355,7,37.2,6.2,16.9, 0.08G,66
-34.5374,141.7141,8,40.8,5.5,9.9, 0.01G,74
-37.0046,141.8047,10,41.4,6.9,8.9, 0.00G,92
-36.827,142.5446,8,39.3,4.7,13, 0.02G,75
-37.1926,143.8095,8,36.3,6.3,13, 0.01G,76
-37.6836,142.6069,13,38.4,11.5,16.9, 0.00G,122
-35.2881,142.5679,17,38.7,16.8,22.9, 0.00I,159
-36.096,146.5016,12,41,12.9,16.9, 0.16G,111
-37.5268,143.0551,8,35,14.4,20, 0.00G,77
-36.5548,142.5237,8,38.6,12.8,18.1, 0.31G,75
-36.3823,141.3146,10,43.7,9.5,13, 0.08G,90
-36.1462,145.2096,10,43.6,9.7,14, 0.20G,90
-36.8741,143.91,9,41.9,9.2,14, 0.12G,82
-36.5243,142.0839,9,43.9,5.7,9.9, 0.00G,81
-36.1704,144.0433,11,41.7,8.7,19, 0.00I,101
-36.0313,143.6296,14,47.4,10.6,19, 0.03G,123
-37.0684,141.0437,13,51.1,6,13, 0.12G,110
-37.6593,143.3445,9,40.1,12.1,15, 0.08G,84
-37.7836,141.4711,12,44.5,11.1,15, 0.00G,108
-37.1104,141.828,11,46.2,10.5,15, 0.28G,97
-37.4551,143.7902,9,37.9,9.1,15.9, 0.00G,85
-37.618,143.0013,14,36,15.9,22, 0.00I,134
-36.8867,142.1873,14,39.3,17.7,30.9, 0.01G,131
-36.8948,142.3282,9,41.2,6.7,13, 0.01G,83
-36.9364,143.4996,14,41.7,12.3,18.1, 0.00G,128
-36.9085,141.2821,15,47.3,8.6,22.9, 0.00I,131
-37.3847,142.8935,20,43.6,10.3,15, 0.00I,181
-36.778,145.1635,17,46.3,11.7,20, 0.02G,150
-36.9817,143.5051,14,44,14.4,23.9, 0.16G,126
-37.8276,142.7573,9,42.1,7.6,12, 0.01G,82
-37.8088,142.2291,11,40.8,6.4,8.9, 0.00G,102
-37.6008,143.0558,15,44.8,8.3,19, 0.00I,134
-36.5871,144.961,13,43.6,9,15, 0.00I,117
-35.6374,142.3787,14,41.6,13.1,18.1, 0.00I,128
-36.8835,142.2098,11,41.6,7.9,15, 0.01G,101
-36.4125,143.1189,12,47.9,6.7,11.1, 0.00G,105
-36.2212,143.1666,11,44.2,5.8,9.9, 0.00I,99
-36.6511,143.915,13,46.2,5.6,12, 0.00I,115
-36.9194,143.6131,19,50.3,7.7,11.1, 0.00I,162
-37.0669,141.0556,12,47.5,15,18.1, 0.20G,105
-36.6516,141.4943,11,45.3,8.5,15, 0.00G,98
-37.8147,143.1062,17,46.4,9.5,20, 0.00I,150
-36.0714,145.7665,18,54.6,12,25.1, 0.12G,148
-35.0889,141.2419,12,44.4,7.8,14, 0.00G,108
-36.279,141.6716,13,42.5,8,15, 0.00I,118
-36.8264,142.6138,15,48.2,14.7,25.1, 0.43G,131
-37.6745,142.9848,15,44.5,10.2,14, 0.00G,134
-37.8072,142.2406,12,44.2,6.2,15, 0.00I,108
-36.0856,144.233,11,43.2,5.9,14, 0.00I,100
-37.4437,143.4924,13,50.7,6.1,13, 0.00I,111
-37.886,147.207,19,54.3,5.9,12, 0.00I,157
-37.062,141.373,22,46.8,8,16.9, 0.00I,194
-37.062,141.373,26,52.2,13.7,16.9, 0.00I,219
-36.779,146.108,15,51,9.6,15.9, 0.16G,128
-36.779,146.108,13,42,11.4,16.9, 0.00G,119
-36.834,142.524,12,47.3,9.7,14, 0.02G,105
-36.834,142.524,13,50.3,8.6,13, 0.02G,111
-37.858,143.428,14,49.5,6,12, 0.00G,121
-37.856,143.416,15,53.7,6.8,11.1, 0.51G,125
-37.856,143.416,14,51,9.1,12, 0.00G,119
-37.858,143.428,13,50.4,7.9,14, 0.00I,111
-36.4274,142.1944,22,46.9,12.9,19, 0.00I,193
-36.3674,143.7295,15,48.7,8.5,20, 0.01G,130
-36.3782,143.7313,17,44.9,16.1,27, 0.24G,152
-36.3774,143.7079,11,43.2,8.1,14, 0.20G,100
-36.3756,143.7243,13,47.1,8.1,12, 0.01G,114
-36.369,143.7132,13,50.1,8.5,12, 0.08G,111
-36.3799,143.7149,12,43.8,6.7,14, 0.16G,108
-36.7179,142.2536,11,40.4,9.2,15, 0.04G,102
-37.8387,144.6301,11,41.4,7.7,15, 0.03G,101
-37.3583,143.0203,13,43.3,9.4,14, 0.00G,118
-36.7084,142.7354,13,44.1,12.9,19, 0.02G,117
-36.2669,143.1906,12,42.7,10,15.9, 0.01G,109
-36.2693,143.1768,12,46.6,6.7,14, 0.00G,106
-36.3769,144.7505,14,50.9,5.9,13, 0.00I,119
-36.059,143.7718,18,53.8,6.4,11.1, 0.00I,149
-36.0201,143.7775,18,55.6,8.2,12, 0.00I,147
-37.6767,142.9892,18,53.8,6.7,14, 0.00I,149
-37.6662,142.9874,24,51.9,7.3,13, 0.00I,202
-36.009,143.185,28,48.3,11.9,22, 0.00I,243
-36.358,143.113,21,58.8,8.8,22.9, 0.08G,167
-36.701,142.538,18,61.5,5.5,11.1, 0.28G,140
-36.5775,142.6076,19,58.7,5.5,12, 0.28G,151
-36.1858,143.885,20,58.4,4.7,11.1, 0.01G,159
-36.0966,142.3635,22,57,8.5,15, 0.00G,178
-36.2111,141.505,24,55.5,7.9,15, 0.00I,196
-36.5794,142.5959,24,51.8,7.9,15, 0.00I,203
-36.1002,142.3405,23,49.6,6.3,13, 0.00I,198
-36.3096,142.7722,24,56.8,5.7,9.9, 0.00I,194
-36.2229,143.4245,23,58.8,9.1,15, 0.01G,183
-36.0279,146.0244,24,60.1,8,13, 0.12G,188
-37.1405,144.1375,20,60.8,10.4,16.9, 0.08G,156
-37.7052,144.6926,17,52.7,7.7,14, 0.00G,142
-36.2127,141.4938,23,58.8,8.8,15, 0.00I,183
-36.3114,142.7605,28,56.7,9.3,16.9, 0.00I,227
-36.4325,144.3142,26,61,9.3,15, 0.20G,202
-36.6851,141.6125,17,59,9.4,15, 0.75G,135
-36.6833,141.6347,15,56.2,16.9,20, 1.77G,122
-36.7685,142.7134,14,48.2,12.5,19, 0.03G,122
-37.4661,143.2419,14,48.2,9.1,15, 0.00G,122
-37.9243,144.1064,17,53,14.6,22.9, 0.00I,142
-36.7801,142.7151,16,51.7,7.4,15, 0.00I,135
-37.926,144.0898,15,51,9,13, 1.26G,128
-36.4422,141.427,15,48.1,7.9,12, 0.00G,131
-36.251,142.5651,17,53.6,7.6,15, 0.00I,141
-37.5865,143.0246,17,53.5,7.3,14, 0.00I,141
-37.5915,143.0015,17,52,8.8,15, 0.00I,143
-36.4553,142.8786,19,55.3,6.2,12, 0.00I,156
-36.6296,142.5191,28,49.9,11,19, 0.00I,240
-36.0005,143.1847,17,52.5,7.7,16.9, 0.00I,143
-36.2032,145.3025,18,52,7.1,14, 0.00I,152
-35.779,143.1057,18,53.7,9,13, 0.00I,150
-36.0459,143.8907,21,58.7,7.8,13, 0.00I,167
-36.404,142.5467,25,60.9,6.3,8.9, 0.00I,195
-36.4025,142.5598,21,57.4,10.7,22.9, 0.67G,169
-36.5507,142.5788,17,51.2,9.9,18.1, 0.00G,144
-36.6312,142.5058,17,52.5,5.7,11.1, 0.00I,143
-36.837,142.0391,19,55.8,6,11.1, 0.00I,155
-36.6732,142.5162,19,53.9,8.3,14, 0.00I,158
-36.6686,142.5195,16,47,12,16.9, 0.00I,141
-37.1815,146.7777,17,50.4,10.8,16.9, 0.00I,145
-36.3334,141.1515,22,55.5,10.3,19, 0.00I,180
-37.1875,146.8024,28,58.3,9.3,15.9, 0.00I,223
-37.189,146.791,21,61.1,6.6,11.1, 0.00I,163
-37.0585,143.8589,19,59.7,7.4,14, 0.63G,150
-36.6859,146.8907,16,51.5,8.7,15, 0.02G,135
-36.575,146.6668,18,53.6,7.9,15.9, 0.00G,150
-38.0427,141.0271,19,52.9,8.1,15, 0.00I,159
